,ITEM_CATEGORY,ITEM_PRICE,ITEM_POS_DESC,ITEM_PRICE2
0,Vegetables,27,Napa                                  배추  origin USA,25.0
1,Vegetables,25,Young Radish                    총각무우 50CT  origin USA,25.0
2,Vegetables,25,Baby Radish                      열무  50CT   origin USA,25.0
3,Vegetables,25,Young Napa                      풋 배추 50CT  origin USA,25.0
4,Vegetables,45,Chive                                부추 origin USA,37.0
5,Vegetables,37,Pickle Cucumber                피클오이  origin USA,32.0
6,Vegetables,16,Green Onion                     파 origin USA,14.95
7,Vegetables,24,Spinach Bunch                  시금치 24CT origin USA,20.0
8,Vegetables,29,Long Hot Green Pepper    롱핫 그린 origin USA,29.0
9,Vegetables,25,Korean Pepper                  조선고추 origin USA,15.0
10,Vegetables,63,Twist Pepper                     꽈리고추 origin USA,50.0
11,Vegetables,16,Yellow Squash                   노란 호박  20Lb,16.0
12,Vegetables,23,Korean Squash                  한국 호박,20.0
13,Vegetables,30,Crown daisy                      쑥갓 origin USA,28.0
14,Vegetables,23,Carrots                              당근  50# origin USA,19.0
15,Vegetables,23,Red Leaf Lettuce              레드상추 origin USA,13.5
16,Vegetables,23,Green Leaf Lettuce          그린상추 origin USA,13.5
17,Vegetables,11,Cilantro                             칠란트로 30EA,11.0
18,Vegetables,28,Broccoli                             브라콜리 origin USA,14.55
19,Vegetables,20,Green Cabbage                양배추 origin USA,15.75
20,Vegetables,20,Baby Bok Choy                 베이비박초이 origin USA,15.0
21,Vegetables,41,Yuchoy                             유초이 origin USA,42.0
22,Vegetables,23,Kabocha Squash              가보차 origin USA,39.0
23,Vegetables,60,Sesame Leaf                    깻잎,50.0
24,Vegetables,33,Garlic Whole                     통 마늘,27.0
25,Vegetables,29,Peeled Garlic (Jar)           깐 마늘 5Lb/4 origin  USA,48.0
26,Vegetables,28,Ginger Root                     생강 30Lb,17.0
27,Vegetables,28,Sasamestem                    줄기 깻 잎,28.0
28,Vegetables,24,Potato-Idaho                  감자 70 CT 50Lb origin USA,19.1
29,Vegetables,65,Korean Yam                     한국 고구마 40Lb,50.0
30,Fruit,29,Lime-Bartlett                            라임,23.0
31,Fruit,25,Orange 88Ct                          오렌지 88Ea,16.0
32,Fruit,26,Orange 56CT                          오렌지 56Ea,23.0
33,Fruit,32,Cherry                                    체리,32.0
34,Frozen,68,Frozen Chwinamul                        냉동 취나물 2Kg/6,58.0
35,Fruit,22,Peach-Yellow                          노란 복숭아 origin  USA,17.85
36,Fruit,12,Peach- White                          흰 복숭아 origin USA,12.0
37,Fruit,37,Lemon                                     레몬,24.0
38,Fruit,130,Watermelon  Seedless            씨없는 수박 45CT Bin   origin USA,130.0
